disease.id	disease.efo_info.label	target.id	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	known_drug_binary
EFO_0000270	asthma	ENSG00000167757	0.044800000000000006	0.0	0.0	0.0	0.0	0.0	0.044800000000000006	0.0	0
EFO_0000270	asthma	ENSG00000165240	0.0448	0.0	0.0	0.0	0.0	0.0	0.0448	0.0	0
EFO_0000270	asthma	ENSG00000156500	0.04479850565716462	0.0	0.0	0.0	0.0	0.04479850565716462	0.0	0.0	0
EFO_0000270	asthma	ENSG00000196083	0.04476352408256841	0.037094079638123965	0.0	0.0	0.0	0.0	0.03067777777777778	0.0	0
EFO_0000270	asthma	ENSG00000177119	0.04475573548044702	0.04475573548044702	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000137757	0.044748048970345525	0.0	0.0	0.0	0.0	0.041148048970345526	0.014400000000000003	0.0	0
EFO_0000270	asthma	ENSG00000002587	0.04472339328331282	0.04472339328331282	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000079263	0.04470946177540651	0.0	0.0	0.0	0.0	0.04470946177540651	0.0	0.0	0
EFO_0000270	asthma	ENSG00000165923	0.04470873815301619	0.0	0.0	0.0	0.0	0.04470873815301619	0.0	0.0	0
EFO_0000270	asthma	ENSG00000101180	0.044681222222222226	0.0	0.0	0.0	0.0	0.0	0.044681222222222226	0.0	0
EFO_0000270	asthma	ENSG00000196209	0.0446656776836777	0.0	0.0	0.0	0.0	0.0446656776836777	0.0	0.0	0
EFO_0000270	asthma	ENSG00000175697	0.044615219547808206	0.0	0.0	0.0	0.0	0.044615219547808206	0.0	0.0	0
EFO_0000270	asthma	ENSG00000170961	0.04461111111111111	0.0	0.0	0.0	0.0	0.0	0.04461111111111111	0.0	0
EFO_0000270	asthma	ENSG00000125810	0.0446	0.0	0.0	0.0	0.0	0.0	0.0446	0.0	0
EFO_0000270	asthma	ENSG00000080618	0.044500000000000005	0.0	0.0	0.0	0.0	0.0	0.044500000000000005	0.0	0
EFO_0000270	asthma	ENSG00000168546	0.04444945843982291	0.04444945843982291	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000255595	0.04444945843982291	0.04444945843982291	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000118432	0.04441093476094694	0.0	0.0	0.0	0.0	0.02020907237712105	0.039358666666666674	0.0	0
EFO_0000270	asthma	ENSG00000110395	0.0444	0.0	0.0	0.0	0.0	0.0	0.0444	0.0	0
EFO_0000270	asthma	ENSG00000136048	0.04437091392506675	0.0	0.0	0.0	0.0	0.04437091392506675	0.0	0.0	0
EFO_0000270	asthma	ENSG00000134986	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000172771	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000132639	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000111412	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000146592	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000197702	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000170743	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000150051	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000110328	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000118849	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000196090	0.04435318388707912	0.04435318388707912	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000165495	0.04434759949201858	0.04434759949201858	0.0	0.0	0.0	0.0	0.0	0.0	0
EFO_0000270	asthma	ENSG00000114200	0.044347377145113186	0.0	0.0	0.0	0.0	0.0	0.044347377145113186	0.0	0
EFO_0000270	asthma	ENSG00000173744	0.044333333333333336	0.0	0.0	0.0	0.0	0.0	0.044333333333333336	0.0	0
EFO_0000270	asthma	ENSG00000038427	0.04425833751875911	0.03926944862987022	0.0	0.0	0.0	0.0	0.01995555555555556	0.0	0
EFO_0000270	asthma	ENSG00000183386	0.04425381954064224	0.0	0.0	0.0	0.0	0.04425381954064224	0.0	0.0	0
EFO_0000270	asthma	ENSG00000112164	0.0441	0.0	0.0	0.0	0.0	0.0	0.0441	0.0	0
EFO_0000270	asthma	ENSG00000116791	0.044	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0
EFO_0000270	asthma	ENSG00000215790	0.04393531862540036	0.0	0.0	0.0	0.0	0.04393531862540036	0.0	0.0	0
EFO_0000270	asthma	ENSG00000109861	0.04382877777777777	0.0	0.0	0.0	0.0	0.0	0.04382877777777777	0.0	0
EFO_0000270	asthma	ENSG00000084453	0.043818883653915716	0.040118883653915714	0.0	0.0	0.0	0.0	0.014800000000000002	0.0	0
EFO_0000270	asthma	ENSG00000108055	0.0438	0.0	0.0	0.0	0.0	0.0	0.0438	0.0	0
EFO_0000270	asthma	ENSG00000096060	0.04374750201873345	0.0	0.0	0.0	0.0	0.03664750201873345	0.0284	0.0	0
EFO_0000270	asthma	ENSG00000160224	0.043739999999999994	0.0	0.0	0.0	0.0	0.0	0.043739999999999994	0.0	0
EFO_0000270	asthma	ENSG00000135333	0.04372353027386989	0.040118883653915714	0.0	0.0	0.0	0.014418586479816699	0.0	0.0	0
