"STRING_id","n_disease"
"9606.ENSP00000265724",1
"9606.ENSP00000265872",1
"9606.ENSP00000266037",1
"9606.ENSP00000266087",1
"9606.ENSP00000266771",1
"9606.ENSP00000267101",1
"9606.ENSP00000267229",1
"9606.ENSP00000267484",1
"9606.ENSP00000267814",1
"9606.ENSP00000268057",1
"9606.ENSP00000268129",1
"9606.ENSP00000268138",1
"9606.ENSP00000268164",1
"9606.ENSP00000268184",1
"9606.ENSP00000268220",1
"9606.ENSP00000268296",1
"9606.ENSP00000268704",1
"9606.ENSP00000269141",1
"9606.ENSP00000269228",1
"9606.ENSP00000269844",1
"9606.ENSP00000270112",1
"9606.ENSP00000270162",1
"9606.ENSP00000270225",1
"9606.ENSP00000270474",1
"9606.ENSP00000270586",1
"9606.ENSP00000271234",1
"9606.ENSP00000271324",1
"9606.ENSP00000271331",1
"9606.ENSP00000271373",1
"9606.ENSP00000271588",1
"9606.ENSP00000272133",1
"9606.ENSP00000272198",1
"9606.ENSP00000272638",1
"9606.ENSP00000273353",1
"9606.ENSP00000273430",1
"9606.ENSP00000273814",1
"9606.ENSP00000273854",1
"9606.ENSP00000273857",1
"9606.ENSP00000274031",1
"9606.ENSP00000274056",1
"9606.ENSP00000274093",1
"9606.ENSP00000274170",1
"9606.ENSP00000274276",1
"9606.ENSP00000274335",1
"9606.ENSP00000274364",1
"9606.ENSP00000274680",1
"9606.ENSP00000275053",1
"9606.ENSP00000275300",1
"9606.ENSP00000275364",1
"9606.ENSP00000275493",1
"9606.ENSP00000275857",1
"9606.ENSP00000276297",1
"9606.ENSP00000276390",1
"9606.ENSP00000276594",1
"9606.ENSP00000277165",1
"9606.ENSP00000277541",1
"9606.ENSP00000277746",1
"9606.ENSP00000278193",1
"9606.ENSP00000278198",1
"9606.ENSP00000278282",1
"9606.ENSP00000278353",1
"9606.ENSP00000278919",1
"9606.ENSP00000280098",1
"9606.ENSP00000280333",1
"9606.ENSP00000280551",1
"9606.ENSP00000280979",1
"9606.ENSP00000280987",1
"9606.ENSP00000281513",1
"9606.ENSP00000281708",1
"9606.ENSP00000282032",1
"9606.ENSP00000282397",1
"9606.ENSP00000282884",1
"9606.ENSP00000283122",1
"9606.ENSP00000283632",1
"9606.ENSP00000284049",1
"9606.ENSP00000284073",1
"9606.ENSP00000284136",1
"9606.ENSP00000284245",1
"9606.ENSP00000284273",1
"9606.ENSP00000284503",1
"9606.ENSP00000284601",1
"9606.ENSP00000284629",1
"9606.ENSP00000284637",1
"9606.ENSP00000284719",1
"9606.ENSP00000284885",1
"9606.ENSP00000284981",1
"9606.ENSP00000285093",1
"9606.ENSP00000285407",1
"9606.ENSP00000285518",1
"9606.ENSP00000285814",1
"9606.ENSP00000286621",1
"9606.ENSP00000286808",1
"9606.ENSP00000287878",1
"9606.ENSP00000288199",1
"9606.ENSP00000288490",1
"9606.ENSP00000289104",1
"9606.ENSP00000289431",1
"9606.ENSP00000289528",1
"9606.ENSP00000289902",1
"9606.ENSP00000289957",1
"9606.ENSP00000290354",1
"9606.ENSP00000290866",1
"9606.ENSP00000290921",1
"9606.ENSP00000291281",1
"9606.ENSP00000291294",1
"9606.ENSP00000291539",1
"9606.ENSP00000291700",1
"9606.ENSP00000292176",1
"9606.ENSP00000292246",1
"9606.ENSP00000292303",1
"9606.ENSP00000292779",1
"9606.ENSP00000294016",1
"9606.ENSP00000294383",1
"9606.ENSP00000294740",1
"9606.ENSP00000294785",1
"9606.ENSP00000294904",1
"9606.ENSP00000295006",1
"9606.ENSP00000295079",1
"9606.ENSP00000295082",1
"9606.ENSP00000295101",1
"9606.ENSP00000295108",1
"9606.ENSP00000295156",1
"9606.ENSP00000295240",1
"9606.ENSP00000295266",1
"9606.ENSP00000295408",1
"9606.ENSP00000295448",1
"9606.ENSP00000295640",1
"9606.ENSP00000295666",1
"9606.ENSP00000295682",1
"9606.ENSP00000295736",1
"9606.ENSP00000295755",1
"9606.ENSP00000295899",1
"9606.ENSP00000295901",1
"9606.ENSP00000295951",1
"9606.ENSP00000296028",1
"9606.ENSP00000296411",1
"9606.ENSP00000296452",1
"9606.ENSP00000296456",1
"9606.ENSP00000296486",1
